Location;Bâtiment Maupertuis;Bâtiment Bibliothèque Universitaire;IUP Pelvoux;Bâtiment IUT Romero;IUT Rostand;Bâtiment IBGBI;Bâtiment Premiers Cycles;Bâtiment Facteur Cheval;Bâtiment Ile-de-France;IUT Brétigny
2021-08-10;3921.916667;557.333333;544.083333;417.0;101.416667;1341.75;1471.0;619.083333;1786.583333;333.916667
2021-08-12;4190.75;556.916667;512.166667;423.833333;107.416667;1228.166667;1469.333333;589.166667;1743.333333;339.916667
2021-08-19;4117.083333;389.333333;701.166667;398.0;101.5;1292.75;1227.666667;672.916667;1861.333333;326.0
2021-08-20;4165.666667;378.083333;599.333333;402.083333;101.5;1274.25;1231.833333;666.166667;1886.333333;316.583333
2021-08-24;4282.75;838.0;704.583333;612.75;102.75;1273.5;1251.75;672.833333;2043.833333;580.083333
2021-08-25;4316.083333;844.25;720.083333;617.916667;101.75;1297.666667;1285.416667;676.416667;2028.416667;588.0
2021-08-29;3995.285632;362.751149;569.666667;555.914943;113.5;1152.497126;1274.832184;550.082759;1635.252874;451.166092
2021-08-31;4760.25;1001.666667;918.916667;755.0;114.166667;1514.083333;1833.0;705.75;2135.666667;817.583333
2021-09-03;5027.083333;1447.083333;897.333333;828.833333;109.833333;1515.083333;2140.75;785.166667;2039.083333;855.833333
2021-09-05;4678.166667;799.916667;548.833333;563.583333;115.083333;1169.25;1322.75;523.416667;1783.333333;538.416667
2021-09-10;5568.25;1604.583333;1152.666667;1120.75;111.333333;1641.75;2469.333333;758.166667;2160.25;931.333333
2021-09-18;4897.916667;1264.166667;683.666667;693.75;105.416667;1278.333333;1364.666667;518.583333;1712.75;502.583333
2021-09-19;4768.666667;887.25;663.0;698.5;108.333333;1199.166667;1325.916667;502.166667;1682.416667;504.666667
2021-09-22;5370.5;1623.166667;1244.0;1189.333333;105.666667;1654.166667;2664.833333;766.0;2243.0;945.416667
2021-09-25;4816.666667;1291.083333;636.916667;719.166667;106.666667;1271.25;1380.083333;521.833333;1717.25;518.916667
2021-09-26;4662.166667;915.416667;633.0;714.0;108.916667;1188.25;1365.666667;517.666667;1702.833333;515.833333
2021-09-27;5614.75;1624.166667;1354.833333;1366.416667;108.583333;1687.25;2848.75;902.166667;2412.416667;1068.916667
2021-09-28;5515.916667;1638.833333;1296.833333;1402.583333;105.583333;1715.75;2699.166667;818.75;2365.0;1000.0
2021-09-29;5577.25;1663.916667;1342.166667;1306.333333;109.333333;1672.833333;2825.333333;815.416667;2375.583333;917.666667
2021-10-08;5950.333333;1676.0;1232.666667;1389.75;111.166667;1698.833333;2777.416667;932.583333;2354.166667;1080.666667
2021-10-14;6727.583333;1779.0;1382.833333;1440.5;108.416667;1710.833333;2824.083333;1011.0;2432.75;1127.333333
2021-10-27;7226.666667;1722.916667;1543.666667;1329.583333;122.416667;1583.083333;2858.75;0.0;2420.666667;1114.833333
2021-11-05;6769.5;1734.0;977.75;1249.166667;115.416667;1439.75;2496.416667;886.25;2272.083333;814.166667
2021-11-10;8019.25;1842.5;1545.916667;1853.333333;116.833333;1662.083333;3344.416667;956.416667;2689.0;1113.166667
2021-11-15;8207.75;1832.75;1666.0;1927.333333;125.0;1636.75;3456.0;1034.666667;2735.666667;1118.75
2021-11-16;8402.5;1849.75;1669.833333;1870.75;126.75;1663.916667;3424.083333;1000.416667;2776.0;1049.916667
2021-11-25;7086.062284;1098.103806;671.916955;1074.020761;173.979239;1308.124567;2094.228374;618.103806;2052.041522;504.0
2021-11-26;8083.25;1984.666667;1471.916667;1601.666667;127.5;1684.333333;3354.083333;1042.833333;2639.916667;992.416667
2021-11-28;7052.916667;1214.583333;639.416667;1124.833333;134.833333;1269.0;2073.833333;758.5;1951.666667;549.833333
2021-11-29;8416.166667;2014.583333;1636.25;1780.083333;134.0;1692.0;3584.0;1037.0;2791.166667;1087.416667
2021-12-03;8379.5;1995.333333;1543.833333;1845.416667;131.416667;1722.0;3505.25;1055.25;2639.5;1211.083333
2021-12-06;8342.083333;1998.5;1581.5;1918.583333;129.833333;1574.75;3467.0;1044.0;2704.083333;1188.583333
2021-12-07;8480.666667;2046.5;1691.0;1958.083333;134.5;1737.75;3184.416667;1070.25;2780.166667;1177.666667
2021-12-08;8305.916667;1993.166667;1530.833333;1768.25;125.916667;1739.5;3375.083333;970.916667;2623.333333;1042.083333
2021-12-09;8589.333333;1876.916667;1564.416667;1663.666667;127.25;1705.083333;3296.5;1046.333333;2642.416667;1041.0
2021-12-15;8652.666667;1962.583333;1824.583333;1608.333333;127.083333;1705.833333;3335.0;987.5;2618.25;1185.416667
2021-12-21;7164.583333;2032.166667;922.083333;1164.0;143.333333;1460.0;2272.083333;756.833333;2050.166667;628.833333
2021-12-22;7341.0;1855.833333;722.5;1155.25;142.333333;1454.916667;2263.833333;749.0;1816.166667;672.083333
2021-12-23;7131.083333;1070.916667;701.833333;1126.416667;147.583333;1455.75;2203.916667;734.916667;1778.5;614.666667
2021-12-25;6452.666667;975.75;709.583333;974.916667;148.833333;1315.583333;1765.5;612.083333;1705.916667;518.0
2021-12-27;6539.416667;978.0;770.166667;990.166667;143.833333;1391.916667;2017.0;722.083333;1758.5;585.166667
2021-01-04;7174.083333;1949.083333;1218.333333;1339.333333;125.25;1366.75;2734.75;823.916667;2692.916667;848.166667
2021-01-05;7832.833333;2151.0;1350.5;1447.166667;203.333333;1471.416667;2796.0;797.583333;2751.833333;1090.833333
2021-01-10;6685.833333;1284.665704;916.166667;1216.583333;104.916667;1176.916667;1916.0;565.166667;1813.083333;681.416667
2021-01-13;8176.083333;1171.953811;768.165517;1372.916667;228.041522;1554.583333;2813.0;922.083333;2464.083333;981.166667
2021-01-16;7006.5;1844.5;801.333333;1126.583333;153.666667;1276.083333;2059.5;579.833333;1857.583333;691.25
2021-01-22;7987.833333;1938.75;1328.666667;1266.333333;190.25;1483.833333;2302.916667;821.0;2160.916667;1086.5
2021-01-23;6842.666667;1683.25;741.583333;1035.25;191.166667;1251.083333;1732.416667;608.083333;1750.833333;627.416667
2021-01-24;6843.0;1319.5;733.666667;999.833333;188.583333;1262.833333;1797.0;598.0;1735.583333;634.333333
2021-01-27;8875.666667;2120.25;1290.916667;1341.0;146.166667;1573.833333;2796.0;850.333333;2568.166667;905.916667
2021-01-30;6534.916667;1552.416667;704.916667;1009.583333;104.416667;1326.0;1724.583333;578.833333;1796.333333;526.666667
2021-02-04;7595.75;1719.75;1247.833333;1241.333333;101.916667;1559.916667;2325.916667;817.333333;2319.083333;687.5
2021-02-05;7631.0;1459.5;1352.583333;1173.833333;104.916667;1550.666667;2166.166667;833.75;2283.25;672.083333
2021-02-06;6851.0;1072.75;936.583333;965.5;105.333333;1326.0;1832.75;559.333333;1785.416667;585.333333
2021-02-14;7123.5;1449.583333;679.333333;1090.583333;104.833333;1292.5;1951.916667;675.166667;1880.833333;534.25
2021-02-27;6063.75;1600.583333;660.916667;875.583333;101.25;1198.166667;1698.583333;586.583333;1752.666667;518.916667
2021-02-28;5975.333333;1137.583333;655.75;895.5;105.0;1202.0;1695.166667;555.083333;1759.916667;522.25
2021-03-01;6739.416667;1844.583333;1147.5;1233.833333;100.666667;1473.833333;2466.166667;781.583333;2213.25;704.583333
2021-03-02;6609.666667;1790.666667;1224.333333;1282.083333;124.916667;1470.0;2431.083333;817.5;2273.583333;700.333333
2021-03-05;6769.666667;1850.833333;1349.25;1322.916667;119.583333;1489.083333;2378.083333;938.166667;2371.166667;714.0
2021-03-07;5675.333333;1127.916667;744.166667;1049.75;136.0;1229.166667;1671.25;642.333333;1821.916667;520.916667
2021-03-08;6896.75;1822.5;1256.166667;1353.666667;135.166667;1534.833333;2546.583333;854.416667;2254.25;662.333333
2021-03-11;6917.0;2081.416667;1326.25;1357.583333;119.25;1524.916667;2737.5;891.083333;2338.333333;683.0
2021-03-13;6232.583333;1845.333333;688.333333;1040.0;119.916667;1200.833333;1811.0;558.083333;1787.75;520.75
2021-03-17;7399.833333;2108.0;1366.333333;1365.666667;143.333333;1529.166667;2640.0;860.166667;2481.666667;780.666667
2021-03-18;7510.166667;2086.25;1371.25;1384.666667;130.75;1567.083333;2865.083333;923.333333;2475.666667;899.5
2021-03-23;7154.916667;2164.833333;1190.75;1288.583333;122.75;1533.666667;2697.833333;902.416667;2360.416667;708.583333
2021-03-24;6725.0;1915.5;1222.666667;1193.666667;119.833333;1554.5;2502.083333;823.75;2207.666667;683.583333
2021-03-25;6829.083333;1745.083333;1406.25;1317.916667;122.5;1548.416667;2699.75;837.5;2413.916667;684.833333
2021-03-26;6736.833333;1940.666667;1405.166667;1199.75;120.083333;1501.083333;2425.583333;769.416667;2335.0;667.083333
2021-03-30;6155.333333;2125.25;1301.0;1166.75;107.75;1517.75;2350.0;824.75;2204.083333;700.166667
2021-04-01;5874.666667;2175.916667;1363.333333;1174.083333;105.25;1508.333333;2312.083333;772.083333;2148.416667;683.333333
2021-04-06;6775.75;2043.333333;1288.916667;1179.083333;98.833333;1452.333333;2552.5;793.0;2198.5;674.666667
2021-04-07;7082.0;2024.75;1266.416667;1142.25;98.75;1476.333333;2305.5;805.166667;2249.416667;696.583333
2021-04-10;5841.083333;1612.333333;864.916667;943.666667;105.25;1198.333333;1555.25;564.833333;1749.416667;507.25
2021-04-13;7095.833333;1951.083333;1294.416667;1263.166667;105.166667;1297.916667;2094.25;837.166667;2174.916667;764.25
2021-04-14;7039.333333;1986.833333;1265.5;1285.416667;100.583333;1258.333333;2182.666667;809.666667;2176.333333;828.666667
2021-04-15;7096.25;1941.333333;1201.833333;1178.0;98.916667;1283.333333;2153.583333;810.25;2262.833333;923.083333
2021-04-16;6947.666667;1951.5;1190.833333;1258.916667;100.666667;1239.916667;2140.0;816.583333;2169.0;859.5
2021-04-17;6033.583333;1613.583333;676.416667;968.5;107.083333;1115.75;1574.083333;593.5;1760.083333;648.083333
2021-04-21;5951.666667;1802.166667;809.333333;1127.833333;107.333333;1244.666667;1595.583333;766.666667;2016.583333;823.416667
2021-04-22;5697.5;1815.166667;844.5;1089.333333;103.833333;1252.666667;1551.75;727.833333;2016.25;829.916667
2021-04-24;5026.916667;1482.166667;675.916667;852.5;103.333333;1137.75;1319.416667;486.25;1617.75;651.416667
2021-04-26;5619.25;1806.916667;886.916667;1105.666667;103.25;1263.0;1717.916667;753.0;2019.083333;829.666667
2021-05-01;5284.25;1191.75;575.166667;855.833333;102.0;1218.583333;1454.166667;544.5;1747.583333;444.5
2021-05-02;5243.666667;1197.5;573.25;868.166667;99.083333;1126.0;1449.25;539.583333;1721.083333;530.25
2021-05-03;6175.833333;1874.25;1170.083333;1229.166667;100.166667;1507.666667;2185.0;822.666667;2249.75;873.833333
2021-05-06;7280.666667;1938.833333;1299.083333;1275.083333;99.083333;1585.083333;2592.666667;983.0;2730.416667;817.666667
2021-05-14;5561.833333;1248.25;808.416667;925.916667;102.75;1219.0;1804.5;628.083333;1743.25;680.5
2021-05-26;6463.416667;1849.0;1303.083333;1276.666667;103.333333;1459.5;2378.25;958.083333;2306.416667;887.75
2021-05-27;6175.5;1804.333333;1356.25;1222.916667;103.166667;1470.083333;2286.833333;946.083333;2231.666667;911.166667
2021-05-28;5751.25;1725.666667;1197.5;1172.583333;106.5;1444.333333;2159.916667;948.25;2052.166667;988.166667
2021-06-02;5481.5;1664.916667;1028.916667;1055.916667;105.833333;1459.5;2061.083333;757.916667;1968.0;927.333333
2021-06-04;5480.333333;1651.083333;1050.666667;1068.833333;101.0;1469.083333;1974.833333;712.083333;1987.5;827.166667
2021-06-05;4980.666667;997.583333;600.916667;738.416667;104.083333;1218.166667;1299.083333;500.416667;1651.25;507.166667
2021-06-07;5427.666667;1674.75;1026.666667;1022.916667;100.25;1487.333333;1929.833333;763.333333;1963.416667;769.416667
2021-06-11;5576.25;1639.583333;1059.75;1012.166667;108.333333;1437.75;2025.583333;710.25;2009.916667;798.083333
