Date;Bâtiment Maupertuis;Bâtiment Bibliothèque Universitaire;IUP Pelvoux;Bâtiment IUT Romero;IUT Rostand;Bâtiment IBGBI;Bâtiment Premiers Cycles;Bâtiment Facteur Cheval;Bâtiment Ile-de-France;IUT Brétigny
2024-01-06;4048.25;1527.375;761.375;774.25;92.125;1529.125;1824.5;562.041667;1659.541667;388.583333
2023-08-05;3327.291667;922.583333;523.083333;434.833333;64.416667;1387.625;1171.625;345.291667;1497.083333;313.166667
2024-01-15;6565.125;2135.041667;1584.791667;1883.583333;135.416667;2131.25;3471.458333;802.666667;1924.541667;958.375
2023-08-15;2716.458333;370.25;478.291667;416.458333;71.416667;1657.291667;1446.25;336.0;1481.208333;350.916667
2024-01-16;6674.208333;2152.083333;1569.416667;1784.208333;134.0;2218.833333;3473.75;830.875;1963.291667;1097.958333
2023-08-16;2873.416667;492.125;480.458333;414.541667;70.083333;1707.958333;1404.166667;385.416667;1601.0;355.125
2024-01-17;6616.25;2135.25;1602.041667;1619.541667;132.541667;2036.583333;3371.291667;636.875;1909.791667;1021.791667
2023-08-17;2932.0;484.5;476.666667;414.625;72.833333;1711.041667;1233.916667;350.208333;1619.25;370.625
2024-01-19;6759.875;1971.666667;1482.625;1535.333333;112.041667;2166.791667;3329.541667;706.875;1873.166667;886.458333
2023-08-22;3073.291667;2107.833333;742.041667;534.875;73.416667;1859.125;1469.833333;304.958333;1668.875;457.583333
2024-01-26;5014.541667;1375.333333;1506.958333;1226.791667;133.875;1803.791667;3022.916667;772.166667;1805.125;823.166667
2023-08-26;2738.125;1178.916667;582.625;434.291667;84.416667;1507.5;1268.208333;330.208333;1465.541667;383.291667
2024-01-27;4670.833333;1141.125;830.541667;1103.041667;128.708333;1489.416667;1886.5;478.416667;1591.583333;462.791667
2023-08-29;2964.958333;1680.708333;796.625;530.291667;71.166667;1781.791667;1835.75;375.25;1702.75;530.375
2024-01-28;4587.083333;696.041667;827.666667;1088.166667;130.333333;1416.708333;2003.25;486.0;1584.541667;469.666667
2023-08-31;3114.083333;1432.083333;861.666667;572.791667;68.291667;1731.708333;2134.541667;380.083333;1725.791667;513.583333
2024-01-30;5159.791667;1418.916667;1583.0;1346.25;138.333333;1822.0;3234.333333;695.25;1915.458333;1080.125
2023-09-03;2870.708333;772.25;644.875;472.291667;74.958333;1281.416667;1318.958333;323.0;1575.083333;383.875
2024-01-31;5257.875;1561.25;1451.833333;1314.958333;145.5;1840.25;3234.791667;621.083333;1881.541667;884.208333
2023-09-04;3212.0;1607.583333;960.583333;808.333333;77.625;1929.875;2449.75;432.791667;1777.041667;639.75
2024-02-04;4514.416667;972.625;854.208333;989.791667;132.25;1239.666667;1860.875;474.625;1604.166667;489.083333
2023-09-10;2984.0;1385.791667;680.291667;623.083333;84.541667;1356.166667;1427.333333;313.833333;1574.25;487.125
2024-02-05;5153.5;1943.75;1625.25;1516.625;139.833333;1851.708333;3203.541667;724.0;1939.0;841.833333
